x,y,parameter
66.0,455.0,1.667214689147E9
67.0,452.0,1.667214689176E9
68.0,449.0,1.667214689176E9
70.0,445.0,1.667214689184E9
71.0,441.0,1.667214689191E9
73.0,435.0,1.6672146891990001E9
75.0,427.0,1.667214689207E9
75.0,423.0,1.6672146892150002E9
79.0,413.0,1.667214689221E9
81.0,403.0,1.667214689229E9
83.0,396.0,1.667214689236E9
86.0,386.0,1.6672146892450001E9
87.0,381.0,1.667214689252E9
90.0,369.0,1.667214689261E9
93.0,360.0,1.667214689267E9
97.0,346.0,1.667214689275E9
99.0,337.0,1.667214689282E9
103.0,325.0,1.667214689289E9
108.0,316.0,1.667214689298E9
114.0,300.0,1.667214689305E9
120.0,289.0,1.667214689312E9
123.0,283.0,1.667214689319E9
131.0,266.0,1.6672146893270001E9
138.0,256.0,1.667214689335E9
143.0,247.0,1.667214689344E9
146.0,244.0,1.6672146893500001E9
154.0,235.0,1.667214689359E9
157.0,232.0,1.667214689366E9
163.0,227.0,1.6672146893730001E9
169.0,222.0,1.667214689382E9
173.0,217.0,1.667214689389E9
177.0,214.0,1.6672146893960001E9
182.0,211.0,1.667214689404E9
187.0,209.0,1.667214689412E9
191.0,207.0,1.6672146894190001E9
197.0,206.0,1.667214689427E9
201.0,206.0,1.667214689435E9
203.0,206.0,1.667214689441E9
209.0,206.0,1.6672146894490001E9
215.0,207.0,1.667214689456E9
221.0,210.0,1.667214689466E9
225.0,212.0,1.667214689471E9
229.0,215.0,1.667214689479E9
232.0,217.0,1.6672146894850001E9
237.0,222.0,1.667214689493E9
239.0,224.0,1.6672146895E9
243.0,229.0,1.667214689509E9
247.0,234.0,1.667214689514E9
251.0,241.0,1.667214689523E9
253.0,245.0,1.667214689529E9
253.0,250.0,1.667214689537E9
255.0,257.0,1.6672146895440001E9
255.0,263.0,1.667214689552E9
255.0,267.0,1.667214689559E9
255.0,277.0,1.667214689568E9
255.0,283.0,1.667214689575E9
255.0,292.0,1.667214689582E9
255.0,297.0,1.6672146895900002E9
255.0,305.0,1.6672146895970001E9
255.0,313.0,1.667214689604E9
254.0,319.0,1.667214689613E9
254.0,327.0,1.6672146896200001E9
253.0,335.0,1.667214689628E9
253.0,341.0,1.667214689636E9
253.0,347.0,1.6672146896430001E9
253.0,354.0,1.667214689651E9
253.0,360.0,1.667214689658E9
253.0,365.0,1.6672146896660001E9
253.0,369.0,1.667214689674E9
255.0,375.0,1.667214689681E9
256.0,381.0,1.6672146896890001E9
258.0,384.0,1.667214689697E9
261.0,390.0,1.667214689703E9
263.0,393.0,1.667214689714E9
266.0,397.0,1.667214689718E9
269.0,399.0,1.6672146897250001E9
271.0,401.0,1.667214689733E9
273.0,402.0,1.667214689742E9
275.0,403.0,1.6672146897480001E9
278.0,404.0,1.667214689755E9
284.0,405.0,1.667214689762E9
286.0,405.0,1.667214689769E9
292.0,405.0,1.667214689777E9
298.0,405.0,1.667214689785E9
303.0,403.0,1.667214689792E9
311.0,401.0,1.667214689799E9
315.0,400.0,1.667214689807E9
322.0,397.0,1.667214689815E9
327.0,394.0,1.667214689822E9
330.0,392.0,1.66721468983E9
340.0,385.0,1.667214689838E9
342.0,383.0,1.667214689845E9
350.0,377.0,1.667214689853E9
357.0,371.0,1.667214689861E9
361.0,366.0,1.667214689868E9
367.0,359.0,1.667214689875E9
373.0,352.0,1.6672146898830001E9
375.0,347.0,1.667214689891E9
379.0,343.0,1.667214689898E9
385.0,335.0,1.6672146899060001E9
387.0,329.0,1.667214689915E9
391.0,322.0,1.66721468992E9
395.0,315.0,1.6672146899290001E9
400.0,305.0,1.667214689936E9
403.0,301.0,1.667214689944E9
407.0,292.0,1.667214689951E9
411.0,286.0,1.667214689958E9
415.0,280.0,1.6672146899650002E9
418.0,274.0,1.667214689973E9
423.0,267.0,1.667214689981E9
429.0,261.0,1.667214689988E9
431.0,258.0,1.667214689996E9
436.0,252.0,1.667214690003E9
441.0,247.0,1.667214690011E9
445.0,242.0,1.667214690019E9
452.0,237.0,1.667214690025E9
459.0,232.0,1.667214690033E9
467.0,228.0,1.667214690043E9
472.0,225.0,1.667214690048E9
481.0,221.0,1.667214690055E9
484.0,219.0,1.667214690063E9
493.0,216.0,1.667214690072E9
502.0,213.0,1.667214690078E9
507.0,212.0,1.667214690086E9
516.0,209.0,1.667214690094E9
524.0,209.0,1.667214690103E9
529.0,209.0,1.667214690108E9
535.0,209.0,1.667214690117E9
